Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8
-15.75222222;27.66777778;2013;Stenella frontalis;11825;547.8;2013-10;
-15.8;27.68388889;2013;Stenella frontalis;13728;767.8;2013-10;
-15.85;27.82777778;2013;Stenella frontalis;5780;97;2013-10;
-15.86666667;27.72027778;2013;Stenella frontalis;14474;1762.2;2013-10;
-15.80055556;27.68972222;2013;Stenella frontalis;13215;648.4;2013-10;
-15.82472222;27.65583333;2013;Stenella frontalis;17667;1553.8;2013-10;
-15.81361111;27.66611111;2013;Stenella frontalis;16097;1343.4;2013-10;
-15.78944444;27.66166667;2013;Stenella frontalis;14665;1024.4;2013-10;
-15.7;27.6525;2013;Stenella frontalis;11026;599.8;2013-10;
-15.85055556;27.71833333;2013;Stenella frontalis;13627;1443;2013-11;
-15.73361111;27.76694444;2013;Stenella frontalis;2426;36.2;2013-11;
-15.80083333;27.66722222;2013;Stenella frontalis;15052;1108.8;2013-11;
-15.78361111;27.65;2013;Stenella frontalis;15254;921.4;2013-11;
-15.81777778;27.68333333;2013;Stenella frontalis;14786;1153.8;2013-11;
-15.75083333;27.68388889;2013;Stenella frontalis;10294;356.8;2013-12;
-15.80083333;27.71861111;2014;Stenella frontalis;10721;426.2;2014-01;
-15.83527778;27.76666667;2014;Stenella frontalis;8667;286.4;2014-01;
-15.73388889;27.68361111;2014;Stenella frontalis;9337;310.4;2014-01;
-15.80166667;27.71666667;2014;Stenella frontalis;10935;426.2;2014-01;
-15.85138889;27.66861111;2014;Stenella frontalis;18181;1764.8;2014-01;
-15.78555556;27.71666667;2014;Stenella frontalis;9915;308.8;2014-01;
-15.75222222;27.66722222;2014;Stenella frontalis;11877;547.8;2014-01;
-15.80083333;27.71805556;2014;Stenella frontalis;10766;426.2;2014-01;
-15.82361111;27.71527778;2014;Stenella frontalis;12468;778.8;2014-01;
-15.67416667;27.65444444;2014;Stenella frontalis;10417;822.8;2014-01;
-15.76805556;27.66861111;2014;Stenella frontalis;12682;580.2;2014-01;
-15.70083333;27.6525;2014;Stenella frontalis;11045;602.2;2014-01;
-15.65027778;27.65166667;2014;Stenella frontalis;10512;1184.4;2014-01;
-15.65388889;27.67083333;2014;Stenella frontalis;8605;493.4;2014-02;
-15.73444444;27.68361111;2014;Stenella frontalis;9371;310.4;2014-02;
